name,cdate
A/Sydney/153/2016|EPI_ISL_233282|2016-07-03,2016-07-03
A/Victoria/512/2016|EPI_ISL_233279|2016-07-13,2016-07-13
A/Newcastle/67/2016|EPI_ISL_233278|2016-07-29,2016-07-29
A/Victoria/7/2016|EPI_ISL_233277|2016-06-06,2016-06-06
A/SouthAustralia/39/2016|EPI_ISL_233229|2016-07-03,2016-07-03
A/Newcastle/43/2016|EPI_ISL_233224|2016-06-07,2016-06-07
A/Brisbane/6/2016|EPI_ISL_222827|2016-01-04,2016-01-04
A/SouthAustralia/9/2015|EPI_ISL_222826|2015,2015
A/SouthAustralia/3/2016|EPI_ISL_222804|2016-01-03,2016-01-03
A/Sydney/9/2016|EPI_ISL_222799|2016-01-08,2016-01-08
A/Brisbane/6/2012|EPI_ISL_222264|2012-02-02,2012-02-02
A/Brisbane/1/2012|EPI_ISL_222263|2012-01-06,2012-01-06
A/Victoria/506/2013|EPI_ISL_219323|2013-06-16,2013-06-16
A/Victoria/505/2013|EPI_ISL_219322|2013-06-17,2013-06-17
A/Victoria/710/2013|EPI_ISL_219313|2013-02-03,2013-02-03
A/SouthAustralia/40/2014|EPI_ISL_219310|2014-06-20,2014-06-20
A/SouthAustralia/2/2013|EPI_ISL_219304|2013-01-09,2013-01-09
A/Perth/98/2013|EPI_ISL_219292|2013-08-05,2013-08-05
A/Canberra/3/2014|EPI_ISL_219280|2014-01-27,2014-01-27
A/Canberra/2/2014|EPI_ISL_219279|2014-01-23,2014-01-23
A/Brisbane/1/2013|EPI_ISL_219278|2013-01-03,2013-01-03
A/Brisbane/21/2013|EPI_ISL_219275|2013-02-27,2013-02-27
A/Brisbane/183/2015|EPI_ISL_219066|2015-10-13,2015-10-13
A/Victoria/6001/2015|EPI_ISL_219040|2015-01-04,2015-01-04
A/Victoria/503/2015|EPI_ISL_219038|2015-03-31,2015-03-31
A/Victoria/5006/2014|EPI_ISL_219037|2014-08-25,2014-08-25
A/Victoria/1000/2015|EPI_ISL_219035|2015-06-17,2015-06-17
A/Tasmania/1012/2015|EPI_ISL_219034|2015-08-04,2015-08-04
A/SouthAustralia/21/2015|EPI_ISL_219031|2015-03-13,2015-03-13
A/Brisbane/82/2015|EPI_ISL_219029|2015-04-22,2015-04-22
A/Brisbane/47/2015|EPI_ISL_219027|2015-03-18,2015-03-18
A/Brisbane/174/2015|EPI_ISL_219025|2015-09-07,2015-09-07
A/Victoria/455/2015|EPI_ISL_209074|2015-12-15,2015-12-15
A/Brisbane/195/2015|EPI_ISL_209073|2015-11-02,2015-11-02
A/SouthAustralia/119/2015|EPI_ISL_202699|2015-08-21,2015-08-21
A/Tasmania/1007/2015|EPI_ISL_202694|2015-07-06,2015-07-06
A/Victoria/48/2015|EPI_ISL_202639|2015-08-10,2015-08-10
A/Sydney/1020/2015|EPI_ISL_202623|2015-08-21,2015-08-21
A/Tasmania/1014/2015|EPI_ISL_202610|2015-08-20,2015-08-20
A/Perth/114/2015|EPI_ISL_202608|2015-07-07,2015-07-07
A/Brisbane/1003/2015|EPI_ISL_202585|2015-07-28,2015-07-28
A/Sydney/1030/2015|EPI_ISL_202455|2015-08-05,2015-08-05
A/Sydney/57/2015|EPI_ISL_198059|2015-06-19,2015-06-19
A/Victoria/15/2015|EPI_ISL_198023|2015-07-09,2015-07-09
A/Victoria/2502/2015|EPI_ISL_198017|2015-07-08,2015-07-08
A/Victoria/535/2015|EPI_ISL_198010|2015-07-11,2015-07-11
A/Victoria/515/2015|EPI_ISL_197992|2015-06-28,2015-06-28
A/Brisbane/115/2015|EPI_ISL_197975|2015-06-09,2015-06-09
A/Sydney/1006/2015|EPI_ISL_197968|2015-06-18,2015-06-18
A/Brisbane/1000/2015|EPI_ISL_197966|2015-06-05,2015-06-05
A/Perth/43/2015|EPI_ISL_197959|2015-05-21,2015-05-21
A/Perth/24/2015|EPI_ISL_197953|2015-03-19,2015-03-19
A/Canberra/13/2015|EPI_ISL_197922|2015-03-23,2015-03-23
A/Sydney/6/2015|EPI_ISL_197853|2015-01-05,2015-01-05
A/Tasmania/25/2015|EPI_ISL_194542|2015-06-26,2015-06-26
A/SouthAustralia/57/2015|EPI_ISL_194528|2015-04-20,2015-04-20
A/SouthAustralia/49/2015|EPI_ISL_194527|2015-04-06,2015-04-06
A/Canberra/12/2015|EPI_ISL_194498|2015-02-12,2015-02-12
A/Victoria/901/2015|EPI_ISL_192825|2015-02-07,2015-02-07
A/Victoria/70/2012|EPI_ISL_192823|2012-06-30,2012-06-30
A/Victoria/64/2012|EPI_ISL_192821|2012-06-27,2012-06-27
A/Victoria/5064/2014|EPI_ISL_192817|2014-09-22,2014-09-22
A/Victoria/5057/2014|EPI_ISL_192813|2014-09-18,2014-09-18
A/Victoria/5049/2014|EPI_ISL_192810|2014-09-11,2014-09-11
A/Victoria/5021/2014|EPI_ISL_192806|2014-08-29,2014-08-29
A/Victoria/50/2012|EPI_ISL_192802|2012-06-25,2012-06-25
A/Victoria/3/2012|EPI_ISL_192801|2012-05-07,2012-05-07
A/Victoria/213/2012|EPI_ISL_192797|2012-08-28,2012-08-28
A/Victoria/189/2012|EPI_ISL_192795|2012-08-15,2012-08-15
A/Victoria/187/2012|EPI_ISL_192794|2012-08-16,2012-08-16
A/Victoria/181/2012|EPI_ISL_192793|2012-08-13,2012-08-13
A/Victoria/180/2012|EPI_ISL_192792|2012-08-13,2012-08-13
A/Victoria/173/2012|EPI_ISL_192791|2012-08-06,2012-08-06
A/Victoria/150/2012|EPI_ISL_192789|2012-07-27,2012-07-27
A/Victoria/148/2012|EPI_ISL_192788|2012-07-25,2012-07-25
A/Victoria/142/2012|EPI_ISL_192785|2012-07-23,2012-07-23
A/Victoria/140/2012|EPI_ISL_192784|2012-07-25,2012-07-25
A/Victoria/122/2012|EPI_ISL_192783|2012-07-16,2012-07-16
A/Sydney/1/2015|EPI_ISL_192768|2015-01-11,2015-01-11
A/SouthAustralia/36/2012|EPI_ISL_192759|2012-05-28,2012-05-28
A/SouthAustralia/212/2011|EPI_ISL_192757|2011-09-13,2011-09-13
A/SouthAustralia/205/2011|EPI_ISL_192755|2011-09-05,2011-09-05
A/SouthAustralia/111/2012|EPI_ISL_192751|2012-07-06,2012-07-06
A/SouthAustralia/1/2015|EPI_ISL_192749|2015-02-07,2015-02-07
A/Perth/327/2011|EPI_ISL_192747|2011-11-14,2011-11-14
A/Perth/247/2013|EPI_ISL_192743|2013-10-07,2013-10-07
A/Perth/185/2011|EPI_ISL_192739|2011-09-07,2011-09-07
A/Perth/153/2012|EPI_ISL_192737|2012-07-02,2012-07-02
A/Perth/16/2009|EPI_ISL_176456|2009-04-07,2009-04-07
A/Canberra/82/2014|EPI_ISL_174194|2014-07-31,2014-07-31
A/Sydney/30/2014|EPI_ISL_173207|2014-03-02,2014-03-02
A/Brisbane/21/2012|EPI_ISL_172969|2012-03-04,2012-03-04
A/Brisbane/14/2012|EPI_ISL_172968|2012-02-06,2012-02-06
A/Brisbane/501/2011|EPI_ISL_172964|2011-03-19,2011-03-19
A/Sydney/602/2009|EPI_ISL_172958|2009-02-07,2009-02-07
A/Victoria/5060/2014|EPI_ISL_172428|2014-09-19,2014-09-19
A/TASMANIA/37/2014|EPI_ISL_168933|2014-08-06,2014-08-06
A/Victoria/8/2010|EPI_ISL_167305|2010,2010
A/Victoria/208/2009|EPI_ISL_167304|2009,2009
A/Victoria/500/2009|EPI_ISL_167300|2009,2009
A/SouthAustralia/55/2014|EPI_ISL_166891|2014-06-29,2014-06-29
A/TASMANIA/15/2014|EPI_ISL_166140|2014-06-04,2014-06-04
A/SYDNEY/37/2014|EPI_ISL_166131|2014-02-15,2014-02-15
A/SYDNEY/84/2014|EPI_ISL_166037|2014-05-22,2014-05-22
A/NEWCASTLE/20/2014|EPI_ISL_165907|2014-02-07,2014-02-07
A/VICTORIA/503/2014|EPI_ISL_164984|2014-05-05,2014-05-05
A/SYDNEY/8/2014|EPI_ISL_161906|2014-01-11,2014-01-11
A/TASMANIA/3/2014|EPI_ISL_161904|2014-01-06,2014-01-06
A/SYDNEY/83/2013|EPI_ISL_161897|2013-11-21,2013-11-21
A/BRISBANE/134/2013|EPI_ISL_161282|2013-08-26,2013-08-26
A/BRISBANE/24/2013|EPI_ISL_161270|2013-02-25,2013-02-25
A/BRISBANE/16/2013|EPI_ISL_161268|2013-02-13,2013-02-13
A/Victoria/361/2011|EPI_ISL_158723|2011-10-24,2011-10-24
A/PERTH/164/2013|EPI_ISL_151587|2013-08-29,2013-08-29
A/BRISBANE/3/2013|EPI_ISL_141599|2013-01-07,2013-01-07
A/SOUTHAUSTRALIA/8/2013|EPI_ISL_141558|2013-03-06,2013-03-06
A/VICTORIA/175/2012|EPI_ISL_137776|2012-05-19,2012-05-19
A/VICTORIA/7/2012|EPI_ISL_137764|2012-06-18,2012-06-18
A/Sydney/195/2012|EPI_ISL_135839|2012-08-06,2012-08-06
A/BRISBANE/132/2012|EPI_ISL_134454|2012-07-30,2012-07-30
