name,state,cdate
A/Sydney/153/2016|EPI_ISL_233282|NSW|2016-07-03,NSW,2016-07-03
A/Sydney/134/2016|EPI_ISL_233281|NSW|2016-07-09,NSW,2016-07-09
A/Victoria/512/2016|EPI_ISL_233279|VIC|2016-07-13,VIC,2016-07-13
A/Newcastle/67/2016|EPI_ISL_233278|NSW|2016-07-29,NSW,2016-07-29
A/Victoria/7/2016|EPI_ISL_233277|VIC|2016-06-06,VIC,2016-06-06
A/Sydney/96/2016|EPI_ISL_233276|NSW|2016-05-13,NSW,2016-05-13
A/Newcastle/53/2016|EPI_ISL_233242|NSW|2016-07-17,NSW,2016-07-17
A/SouthAustralia/35/2016|EPI_ISL_233234|SA|2016-06-20,SA,2016-06-20
A/SouthAustralia/41/2016|EPI_ISL_233231|SA|2016-07-02,SA,2016-07-02
A/SouthAustralia/39/2016|EPI_ISL_233229|SA|2016-07-03,SA,2016-07-03
A/SouthAustralia/38/2016|EPI_ISL_233228|SA|2016-07-03,SA,2016-07-03
A/Victoria/12/2016|EPI_ISL_233226|VIC|2016-06-18,VIC,2016-06-18
A/Newcastle/43/2016|EPI_ISL_233224|NSW|2016-06-07,NSW,2016-06-07
A/Brisbane/6/2016|EPI_ISL_222827|QLD|2016-01-04,QLD,2016-01-04
A/SouthAustralia/9/2015|EPI_ISL_222826|SA|2015,SA,2015
A/SouthAustralia/3/2016|EPI_ISL_222804|SA|2016-01-03,SA,2016-01-03
A/Sydney/29/2016|EPI_ISL_222803|NSW|2016-01-10,NSW,2016-01-10
A/Brisbane/183/2015|EPI_ISL_222800|QLD|2015-10-13,QLD,2015-10-13
A/Sydney/9/2016|EPI_ISL_222799|NSW|2016-01-08,NSW,2016-01-08
A/Brisbane/6/2012|EPI_ISL_222264|QLD|2012-02-02,QLD,2012-02-02
A/Brisbane/1/2012|EPI_ISL_222263|QLD|2012-01-06,QLD,2012-01-06
A/Victoria/506/2013|EPI_ISL_219323|VIC|2013-06-16,VIC,2013-06-16
A/Victoria/505/2013|EPI_ISL_219322|VIC|2013-06-17,VIC,2013-06-17
A/Victoria/504/2013|EPI_ISL_219329|VIC|2013-06-17,VIC,2013-06-17
A/Victoria/710/2013|EPI_ISL_219313|VIC|2013-02-03,VIC,2013-02-03
A/SouthAustralia/40/2014|EPI_ISL_219310|SA|2014-06-20,SA,2014-06-20
A/SouthAustralia/24/2014|EPI_ISL_219307|SA|2014-06-08,SA,2014-06-08
A/SouthAustralia/2/2013|EPI_ISL_219304|SA|2013-01-09,SA,2013-01-09
A/Perth/98/2013|EPI_ISL_219292|WA|2013-08-05,WA,2013-08-05
A/Perth/239/2013|EPI_ISL_219291|WA|2013-09-26,WA,2013-09-26
A/Perth/2/2014|EPI_ISL_219290|WA|2014-01-01,WA,2014-01-01
A/Newcastle/1/2013|EPI_ISL_219288|NSW|2013-01-14,NSW,2013-01-14
