#node	date	numeric date
NODE_0000631	2005-07-01	2005.499141
A/Victoria/500/2009|EPI_ISL_167300|VIC|2009	2009-01-01	2009.000000
NODE_0000005	2007-01-17	2007.048477
NODE_0000009	2007-03-17	2007.209732
A/BRISBANE/54/2009|EPI_ISL_60149|Queensland|2009-05-07	2009-05-07	2009.347707
A/PERTH/160/2009|EPI_ISL_65123|WA|2009-07-03	2009-07-03	2009.503765
NODE_0000006	2008-06-26	2008.484779
A/SYDNEY/603/2009|EPI_ISL_60918|NSW|2009-02-12	2009-02-12	2009.117728
NODE_0000007	2008-09-26	2008.736820
A/Sydney/602/2009|EPI_ISL_172958|NSW|2009-02-07	2009-02-07	2009.104038
A/PERTH/107/2009|EPI_ISL_65133|NT|2009-06-21	2009-06-21	2009.470910
NODE_0000004	2007-03-19	2007.214972
A/Sydney/3/2009|EPI_ISL_32486|NSW|2009-01-20	2009-01-20	2009.054757
NODE_0000003	2007-07-03	2007.505964
NODE_0000010	2008-06-17	2008.460415
A/Canberra/18/2009|EPI_ISL_60003|ACT|2009-06-30	2009-06-30	2009.495551
A/Australia/55/2009|EPI_ISL_87164|NSW|2009-07-30	2009-07-30	2009.577687
A/VICTORIA/4/2010|EPI_ISL_77053|VIC|2010-05-11	2010-05-11	2010.358658
A/BRISBANE/52/2009|EPI_ISL_60923|QLD|2009-05-18	2009-05-18	2009.377823
A/Perth/16/2009|EPI_ISL_176456|WA|2009-04-07	2009-04-07	2009.265572
NODE_0000013	2008-09-19	2008.719236
A/Australia/2/2009|EPI_ISL_74160|NSW|2009-07-16	2009-07-16	2009.539357
A/Australia/22/2009|EPI_ISL_87160|NSW|2009-07-21	2009-07-21	2009.553046
A/Perth/673/2009|EPI_ISL_76619|WA|2009-11-04	2009-11-04	2009.843258
NODE_0000018	2008-11-30	2008.916633
A/Victoria/209/2009|EPI_ISL_33597|VIC|2009-06-02	2009-06-02	2009.418891
A/BRISBANE/253/2010|EPI_ISL_83897|Queensland|2010-09-19	2010-09-19	2010.717317
NODE_0000020	2009-02-15	2009.126898
A/Victoria/210/2009|EPI_ISL_76607|VIC|2009-06-02	2009-06-02	2009.418891
A/Victoria/210/2009|EPI_ISL_66566|VIC|2009-06-02	2009-06-02	2009.418891
NODE_0000000	2008-05-15	2008.371006
A/Victoria/208/2009|EPI_ISL_167304|VIC|2009	2009-01-01	2009.000000
NODE_0000021	2009-05-26	2009.401841
