header,PB2,PB1,PA,HA,NP,NA,MP,NS
H5N1|2.3.4.4|A/American_green_winged_teal/Washington/195750/2014|2014-12-29,EA-avian,NA-avian,2.3,EA-avian,EA-avian,HK97-like,2.3,EA-avian
H5N1|2.3.4.4|A/American_wigeon/Washington/196336/2015|2015-01-02,EA-avian,NA-avian,2.3,EA-avian,EA-avian,HK97-like,2.3,EA-avian
H5N1|2.3.4.4|A/chicken/BC/FAV2/2015|2015-02-06,EA-avian,NA-avian,2.3,EA-avian,EA-avian,HK97-like,2.3,EA-avian
H5N8|2.3.4.4|A/American_wigeon/California/UCD58P/2015|2015-01-17,EA-avian,NA-avian,2.3,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N8|2.3.4.4|A/American_wigeon/Oregon/AH0012525/2015|2015-01-18,EA-avian,NA-avian,2.3,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N2|2.3.4.4|A/American_green_winged_teal/Idaho/AH0011899/2015|2015-01-18,EA-avian,NA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N2|2.3.4.4|A/American_green_winged_teal/Oregon/AH0012403/2015|2015-01-14,EA-avian,NA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N2|2.3.4.4|A/Northern_pintail/Washington/40964/2014|2014-12-08,EA-avian,NA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N8|2.3.4.4|A/American_wigeon/Utah/AH0007824/2015|2015-01-02,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N8|2.3.4.4|A/gyrfalcon/Washington/41088-6/2014|2014-12-08,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N8|2.3.4.4|A/turkey/Germany-MV/R2472/2014|2014-11-04,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N8|2.3.4.4|A/chicken/Netherlands/14015531/2014|2014-11-15,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N8|2.3.4.4|A/spot-billed_duck/Korea/H455-42/2014|2014-02-08,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N8|2.3.4.4|A/breeder_duck/Korea/H158/2014|2014-01-26,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N2|2.3.4.4|A/duck/Zhejiang/1026109/2015|2015-10-26,EA-avian,EA-avian,2.3,EA-avian,EA-avian,EA-avian,2.3,EA-avian
H5N1|2.3.4.4|A/tiger/Yunnan/tig1404/2014|2014-04-08,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1
H5N1|2.3.4.4|A/chicken/Yunnan/1/2014|2014-02-10,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1,H5N1-2.3.2.1
