tip_name,dist_to_'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',dist_to_'A/H3N2|A/HongKong/4801/2014|HongKong|2014',dist_to_'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',dist_to_'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',clade_label,min_dist,clade_label_iso_name
'H3N2|A/Brisbane/20/2015|70571|70571-HA|H3|QLD/Brisbane|2015-02-02',0.012341000000000001,0.006771,0.019141000000000005,0.027176000000000006,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006771,A/HongKong/4801/2014
'H3N2|A/Victoria/670/2016|70963|70963-HA|H3|VIC/Eunemmerring|2016-11-11',0.009266,0.012348000000000001,0.024718,0.032753,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.009266,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Brisbane/225/2016|70927|70927-HA|H3|QLD/Brisbane|2016-10-26',0.009285,0.012367000000000005,0.024737000000000006,0.03277199999999998,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.009285,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Brisbane/132/2015|70666|70666-HA|H3|QLD/Brisbane|2015-06-29',0.014813,0.006771,0.019141000000000002,0.027176000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006771,A/HongKong/4801/2014
'H3N2|A/Brisbane/1000/2015|70624|70624-HA|H3|QLD/Kingston|2015-06-05',0.015436000000000002,0.006162,0.018532000000000003,0.026567,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006162,A/HongKong/4801/2014
'H3N2|A/Sydney/71/2014|70500|70500-HA|H3|NSW/Yagoona|2014-02-09',0.012967,0.002465,0.014835000000000001,0.02287,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.002465,A/HongKong/4801/2014
'H3N2|A/Victoria/52/2016|70873|70873-HA|H3|VIC/Bulleen|2016-07-30',0.008651,0.016651,0.029021000000000005,0.037056000000000006,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.008651,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/6001/2015|70555|70555-HA|H3|VIC|2015-01-04',0.028421000000000002,0.016687,0.012981000000000003,0.024706000000000002,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.012981000000000003,A/SouthAustralia/55/2014
'H3N2|A/Canberra/5/2016|70820|70820-HA|H3|ACT/Narangba|2016-02-19',0.014198,0.006156,0.018526,0.026561,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006156,A/HongKong/4801/2014
'H3N2|A/Brisbane/280/2016|70953|70953-HA|H3|QLD/Chinchilla|2016-10-27',0.03211,0.020376,0.008012,0.028395000000000004,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.008012,A/SouthAustralia/55/2014
'H3N2|A/SouthAustralia/91/2014|70518|70518-HA|H3|SA/Pompoota|2014-07-18',0.026549000000000003,0.014815000000000002,0.011109,0.022834,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.011109,A/SouthAustralia/55/2014
